Activity type,Duration,From,To,Comment
Friends,1:00,5/19/2021 19:33,5/19/2021 20:33,
Gaming,1:00,5/19/2021 18:33,5/19/2021 19:33,
Thesis,1:00,5/19/2021 17:33,5/19/2021 18:33,
Internet,1:32,5/19/2021 16:00,5/19/2021 17:33,
Eat,0:27,5/19/2021 15:32,5/19/2021 16:00,
Thesis,0:11,5/19/2021 15:20,5/19/2021 15:32,
Gaming,1:31,5/19/2021 13:49,5/19/2021 15:20,
Friends,0:00,5/19/2021 13:49,5/19/2021 13:49,
Friends,0:30,5/19/2021 13:19,5/19/2021 13:49,
Gaming,1:28,5/19/2021 11:50,5/19/2021 13:19,
Relaxing,0:24,5/19/2021 11:25,5/19/2021 11:50,
Thesis,2:10,5/19/2021 9:15,5/19/2021 11:25,
Housework,0:08,5/19/2021 9:06,5/19/2021 9:15,
Internet,0:15,5/19/2021 8:50,5/19/2021 9:06,
Thesis,1:04,5/19/2021 7:45,5/19/2021 8:50,
Gaming,1:01,5/19/2021 6:44,5/19/2021 7:45,
Housework,0:14,5/19/2021 6:30,5/19/2021 6:44,
Sleep-ternet,0:00,5/19/2021 5:15,5/19/2021 5:15,
Sleep-ternet,1:16,5/19/2021 5:13,5/19/2021 6:30,
Sleep,6:55,5/18/2021 22:20,5/19/2021 5:15,
Sleep-ternet,1:26,5/18/2021 20:54,5/18/2021 22:20,
Gaming,1:12,5/18/2021 19:42,5/18/2021 20:54,
Thesis,0:21,5/18/2021 19:20,5/18/2021 19:42,
Gaming,0:06,5/18/2021 19:14,5/18/2021 19:20,
Entertainment,1:05,5/18/2021 18:09,5/18/2021 19:14,
Eat,0:43,5/18/2021 17:25,5/18/2021 18:09,
Gaming,2:00,5/18/2021 15:24,5/18/2021 17:25,
Internet,0:29,5/18/2021 14:55,5/18/2021 15:24,
Relaxing,1:19,5/18/2021 13:36,5/18/2021 14:55,
Thesis,1:16,5/18/2021 12:20,5/18/2021 13:36,
Internet,0:10,5/18/2021 12:09,5/18/2021 12:20,
Admin,0:06,5/18/2021 12:02,5/18/2021 12:09,
Thesis,1:00,5/18/2021 11:02,5/18/2021 12:02,
"""Reading""",0:25,5/18/2021 10:36,5/18/2021 11:02,
Thesis,0:38,5/18/2021 9:57,5/18/2021 10:36,
Gaming,0:42,5/18/2021 9:15,5/18/2021 9:57,
Thesis,0:31,5/18/2021 8:22,5/18/2021 8:54,
Eat,0:22,5/18/2021 8:00,5/18/2021 8:22,
Friends,1:15,5/18/2021 6:45,5/18/2021 8:00,
Sleep,24:07:00,5/17/2021 22:13,5/18/2021 22:20,
Sleep-ternet,0:01,5/17/2021 22:11,5/17/2021 22:13,
Friends,4:41,5/17/2021 17:30,5/17/2021 22:11,
Gaming,3:00,5/17/2021 14:30,5/17/2021 17:30,
Internet,2:00,5/17/2021 12:30,5/17/2021 14:30,
Date,1:00,5/17/2021 11:30,5/17/2021 12:30,
Admin,0:00,5/17/2021 10:53,5/17/2021 10:53,
Sleep-ternet,0:00,5/17/2021 10:53,5/17/2021 10:53,
Relaxing,0:37,5/17/2021 10:53,5/17/2021 11:30,
Eat,0:18,5/17/2021 10:35,5/17/2021 10:53,
Internet,3:05,5/17/2021 7:30,5/17/2021 10:35,
Sleep-ternet,1:00,5/17/2021 6:30,5/17/2021 7:30,
Sleep,8:30,5/16/2021 22:00,5/17/2021 6:30,
Transport,34:29:00,5/15/2021 11:30,5/16/2021 22:00,
Eat,3:10,5/15/2021 8:20,5/15/2021 11:30,
Housework,0:10,5/15/2021 8:10,5/15/2021 8:20,
Sleep-ternet,0:25,5/15/2021 7:45,5/15/2021 8:10,
"""Reading""",0:14,5/15/2021 7:30,5/15/2021 7:45,
"""Reading""",0:29,5/15/2021 7:00,5/15/2021 7:30,
Sleep-ternet,0:45,5/15/2021 6:14,5/15/2021 7:00,
Sleep,8:43,5/14/2021 21:30,5/15/2021 6:14,
Sleep,0:00,5/14/2021 21:30,5/14/2021 21:30,
Sleep-ternet,1:13,5/14/2021 20:17,5/14/2021 21:30,
Internet,0:00,5/14/2021 20:17,5/14/2021 20:17,
Date,0:00,5/14/2021 20:17,5/14/2021 20:17,
Work,0:00,5/14/2021 20:17,5/14/2021 20:17,
Sleep-ternet,0:00,5/14/2021 20:17,5/14/2021 20:17,
Internet,10:26,5/14/2021 9:50,5/14/2021 20:17,
Eat,0:30,5/14/2021 9:20,5/14/2021 9:50,
"""Reading""",0:22,5/14/2021 8:58,5/14/2021 9:20,
Internet,0:17,5/14/2021 8:40,5/14/2021 8:58,
Work,0:21,5/14/2021 8:18,5/14/2021 8:40,
Getting Ready,0:28,5/14/2021 7:50,5/14/2021 8:18,
Sleep-ternet,0:34,5/14/2021 7:16,5/14/2021 7:50,
Sleep,5:10,5/14/2021 1:40,5/14/2021 6:50,
Sleep-ternet,1:59,5/13/2021 23:40,5/14/2021 1:40,
Housework,15:09,5/13/2021 8:30,5/13/2021 23:40,
Internet,1:20,5/13/2021 7:10,5/13/2021 8:30,
Eat,0:09,5/13/2021 7:00,5/13/2021 7:10,
Sleep-ternet,2:00,5/13/2021 5:00,5/13/2021 7:00,
Sleep,6:00,5/12/2021 22:59,5/13/2021 5:00,
Sleep-ternet,2:42,5/12/2021 20:17,5/12/2021 22:59,
Nap,2:03,5/12/2021 18:13,5/12/2021 20:17,
Internet,2:48,5/12/2021 15:25,5/12/2021 18:13,
"""Reading""",0:20,5/12/2021 15:04,5/12/2021 15:25,
Relaxing,2:00,5/12/2021 13:04,5/12/2021 15:04,
Work,1:42,5/12/2021 11:22,5/12/2021 13:04,
Eat,0:27,5/12/2021 10:55,5/12/2021 11:22,
Internet,3:10,5/12/2021 7:45,5/12/2021 10:55,
"""Reading""",0:12,5/12/2021 7:32,5/12/2021 7:45,
Friends,0:34,5/12/2021 6:58,5/12/2021 7:32,
Eat,0:31,5/12/2021 6:26,5/12/2021 6:58,
Sleep-ternet,1:13,5/12/2021 5:13,5/12/2021 6:26,
Sleep,6:56,5/11/2021 22:17,5/12/2021 5:13,
Sleep-ternet,1:16,5/11/2021 21:01,5/11/2021 22:17,
Internet,2:43,5/11/2021 18:17,5/11/2021 21:01,
"""Reading""",0:11,5/11/2021 18:06,5/11/2021 18:17,
Internet,0:32,5/11/2021 17:34,5/11/2021 18:06,
"""Reading""",0:18,5/11/2021 17:15,5/11/2021 17:34,
Internet,0:20,5/11/2021 16:55,5/11/2021 17:15,
Eat,0:15,5/11/2021 16:40,5/11/2021 16:55,
Shop,0:40,5/11/2021 16:00,5/11/2021 16:40,
Date,3:00,5/11/2021 13:00,5/11/2021 16:00,
Relaxing,1:00,5/11/2021 12:00,5/11/2021 13:00,
Internet,4:00,5/11/2021 8:00,5/11/2021 12:00,
Sleep-ternet,0:55,5/11/2021 7:04,5/11/2021 8:00,
"""Reading""",0:17,5/11/2021 6:47,5/11/2021 7:04,
Internet,0:16,5/11/2021 6:30,5/11/2021 6:47,
Eat,0:30,5/11/2021 6:00,5/11/2021 6:30,
Sleep-ternet,1:19,5/11/2021 4:40,5/11/2021 6:00,
Sleep,6:54,5/10/2021 21:46,5/11/2021 4:40,
Sleep-ternet,0:20,5/10/2021 21:25,5/10/2021 21:46,
Work,1:09,5/10/2021 20:15,5/10/2021 21:25,
Internet,2:30,5/10/2021 17:45,5/10/2021 20:15,
Eat,0:15,5/10/2021 17:30,5/10/2021 17:45,
Date,4:00,5/10/2021 13:30,5/10/2021 17:30,
"""Reading""",0:30,5/10/2021 13:00,5/10/2021 13:30,
Internet,2:10,5/10/2021 10:50,5/10/2021 13:00,
Getting Ready,0:20,5/10/2021 10:30,5/10/2021 10:50,
Eat,0:30,5/10/2021 10:00,5/10/2021 10:30,
Sleep-ternet,0:13,5/10/2021 9:46,5/10/2021 10:00,
Internet,3:31,5/10/2021 6:15,5/10/2021 9:46,
Eat,0:15,5/10/2021 6:00,5/10/2021 6:15,
Sleep-ternet,1:09,5/10/2021 4:50,5/10/2021 6:00,
Sleep,6:58,5/9/2021 21:52,5/10/2021 4:50,
Sleep-ternet,2:01,5/9/2021 19:50,5/9/2021 21:52,
Work,0:40,5/9/2021 19:10,5/9/2021 19:50,
Eat,1:00,5/9/2021 18:10,5/9/2021 19:10,
Internet,2:10,5/9/2021 16:00,5/9/2021 18:10,
Housework,0:54,5/9/2021 15:05,5/9/2021 16:00,
Internet,7:05,5/9/2021 8:00,5/9/2021 15:05,
Sleep-ternet,2:27,5/9/2021 5:32,5/9/2021 8:00,
Sleep,0:00,5/9/2021 5:32,5/9/2021 5:32,
Sleep,9:02,5/8/2021 20:30,5/9/2021 5:32,
Sleep-ternet,0:54,5/8/2021 19:35,5/8/2021 20:30,
Eat,1:05,5/8/2021 18:30,5/8/2021 19:35,
Internet,12:30,5/8/2021 6:00,5/8/2021 18:30,
Sleep-ternet,1:58,5/8/2021 4:01,5/8/2021 6:00,
Sleep,6:36,5/7/2021 21:25,5/8/2021 4:01,
Internet,9:00,5/7/2021 12:25,5/7/2021 21:25,
Shop,1:00,5/7/2021 11:25,5/7/2021 12:25,
Transport,1:00,5/7/2021 10:25,5/7/2021 11:25,
Eat,1:00,5/7/2021 9:25,5/7/2021 10:25,
Internet,2:55,5/7/2021 6:30,5/7/2021 9:25,
Sleep-ternet,1:28,5/7/2021 5:01,5/7/2021 6:30,
Sleep,8:01,5/6/2021 21:00,5/7/2021 5:01,
Entertainment,13:29,5/6/2021 7:30,5/6/2021 21:00,
Eat,0:45,5/6/2021 6:45,5/6/2021 7:30,
Getting Ready,0:15,5/6/2021 6:30,5/6/2021 6:45,
Sport,1:30,5/6/2021 5:00,5/6/2021 6:30,
"""Reading""",0:13,5/6/2021 4:46,5/6/2021 5:00,
Sleep,6:31,5/5/2021 22:15,5/6/2021 4:46,
Sleep-ternet,0:21,5/5/2021 21:53,5/5/2021 22:15,
Eat,0:30,5/5/2021 21:23,5/5/2021 21:53,
Entertainment,2:53,5/5/2021 18:30,5/5/2021 21:23,
Thesis,1:34,5/5/2021 16:55,5/5/2021 18:30,
Relaxing,1:00,5/5/2021 15:55,5/5/2021 16:55,
"""Reading""",0:26,5/5/2021 15:28,5/5/2021 15:55,
Internet,1:00,5/5/2021 14:28,5/5/2021 15:28,
Thesis,2:04,5/5/2021 12:23,5/5/2021 14:28,
Internet,0:33,5/5/2021 11:50,5/5/2021 12:23,
"""Reading""",0:13,5/5/2021 11:36,5/5/2021 11:50,
Thesis,2:05,5/5/2021 9:30,5/5/2021 11:36,
Internet,0:11,5/5/2021 9:18,5/5/2021 9:30,
Sleep-ternet,0:00,5/5/2021 9:18,5/5/2021 9:18,
Thesis,0:40,5/5/2021 8:38,5/5/2021 9:18,
"""Reading""",0:14,5/5/2021 8:23,5/5/2021 8:38,
Eat,0:23,5/5/2021 8:00,5/5/2021 8:23,
Sleep-ternet,1:23,5/5/2021 6:36,5/5/2021 8:00,
Sleep,1:21,5/5/2021 5:15,5/5/2021 6:36,
Sleep-ternet,1:14,5/5/2021 4:00,5/5/2021 5:15,
Sleep,6:58,5/4/2021 21:02,5/5/2021 4:00,
Sleep-ternet,1:02,5/4/2021 20:00,5/4/2021 21:02,
Internet,2:00,5/4/2021 18:00,5/4/2021 20:00,
Date,1:00,5/4/2021 17:00,5/4/2021 18:00,
Eat,0:00,5/4/2021 15:37,5/4/2021 15:37,
Relaxing,1:54,5/4/2021 15:05,5/4/2021 17:00,
Relaxing,2:34,5/4/2021 12:30,5/4/2021 15:05,
Internet,1:40,5/4/2021 10:50,5/4/2021 12:30,
Eat,0:15,5/4/2021 10:35,5/4/2021 10:50,
Transport,0:50,5/4/2021 9:45,5/4/2021 10:35,
Shop,0:45,5/4/2021 9:00,5/4/2021 9:45,
Transport,0:06,5/4/2021 8:53,5/4/2021 9:00,
Internet,0:00,5/4/2021 8:53,5/4/2021 8:53,
Eat,2:03,5/4/2021 6:49,5/4/2021 8:53,
Getting Ready,0:14,5/4/2021 6:35,5/4/2021 6:49,
Sport,1:50,5/4/2021 4:45,5/4/2021 6:35,
Sleep-ternet,0:40,5/4/2021 4:04,5/4/2021 4:45,
Sleep,8:00,5/3/2021 20:04,5/4/2021 4:04,
Sleep-ternet,0:48,5/3/2021 19:15,5/3/2021 20:04,
Getting Ready,0:07,5/3/2021 19:08,5/3/2021 19:15,
Thesis,1:51,5/3/2021 17:17,5/3/2021 19:08,
Eat,0:46,5/3/2021 16:30,5/3/2021 17:17,
Internet,9:01,5/3/2021 7:29,5/3/2021 16:30,
Meeting,0:29,5/3/2021 7:00,5/3/2021 7:29,
"""Reading""",0:30,5/3/2021 6:29,5/3/2021 7:00,
Gaming,1:00,5/3/2021 5:29,5/3/2021 6:29,
Sleep-ternet,1:48,5/3/2021 3:40,5/3/2021 5:29,
Sleep,7:48,5/2/2021 19:52,5/3/2021 3:40,
Relaxing,1:52,5/2/2021 18:00,5/2/2021 19:52,
Date,3:30,5/2/2021 14:30,5/2/2021 18:00,
Sleep-ternet,2:50,5/2/2021 11:39,5/2/2021 14:30,
Eat,0:25,5/2/2021 11:14,5/2/2021 11:39,
"""Reading""",0:21,5/2/2021 10:52,5/2/2021 11:14,
Thesis,0:17,5/2/2021 10:35,5/2/2021 10:52,
Gaming,0:35,5/2/2021 10:00,5/2/2021 10:35,
Eat,0:31,5/2/2021 9:28,5/2/2021 10:00,
Getting Ready,0:07,5/2/2021 9:20,5/2/2021 9:28,
Relaxing,0:20,5/2/2021 9:00,5/2/2021 9:20,
Sleep-ternet,1:22,5/2/2021 7:37,5/2/2021 9:00,
Gaming,1:37,5/2/2021 6:00,5/2/2021 7:37,
Sleep-ternet,2:06,5/2/2021 3:53,5/2/2021 6:00,
Sleep,9:23,5/1/2021 18:30,5/2/2021 3:53,
Sleep-ternet,1:00,5/1/2021 17:30,5/1/2021 18:30,
Relaxing,1:54,5/1/2021 15:35,5/1/2021 17:30,
Eat,0:50,5/1/2021 14:45,5/1/2021 15:35,
Internet,1:15,5/1/2021 13:30,5/1/2021 14:45,
Gaming,0:43,5/1/2021 12:46,5/1/2021 13:30,
Thesis,0:30,5/1/2021 12:16,5/1/2021 12:46,
Sport,1:00,5/1/2021 11:15,5/1/2021 12:16,
Thesis,1:30,5/1/2021 9:45,5/1/2021 11:15,
Friends,0:30,5/1/2021 9:15,5/1/2021 9:45,
Relaxing,3:18,5/1/2021 5:56,5/1/2021 9:15,
Eat,0:16,5/1/2021 5:40,5/1/2021 5:56,
Getting Ready,0:10,5/1/2021 5:30,5/1/2021 5:40,
Sport,0:40,5/1/2021 4:49,5/1/2021 5:30,
Sleep-ternet,1:40,5/1/2021 3:09,5/1/2021 4:49,
Sleep,7:08,4/30/2021 20:00,5/1/2021 3:09,
Date,0:00,4/30/2021 19:48,4/30/2021 19:48,
Sleep-ternet,0:12,4/30/2021 19:48,4/30/2021 20:00,
Date,0:36,4/30/2021 19:12,4/30/2021 19:48,
Internet,0:57,4/30/2021 18:14,4/30/2021 19:12,
Eat,0:29,4/30/2021 17:45,4/30/2021 18:14,
Friends,1:45,4/30/2021 16:00,4/30/2021 17:45,
Relaxing,1:00,4/30/2021 15:00,4/30/2021 16:00,
Thesis,1:00,4/30/2021 14:00,4/30/2021 15:00,
Gaming,2:46,4/30/2021 11:14,4/30/2021 14:00,
Internet,1:49,4/30/2021 9:25,4/30/2021 11:14,
"""Reading""",0:18,4/30/2021 9:06,4/30/2021 9:25,
Eat,0:16,4/30/2021 8:50,4/30/2021 9:06,
Transport,0:10,4/30/2021 8:15,4/30/2021 8:25,
Shop,0:30,4/30/2021 7:45,4/30/2021 8:15,
Transport,0:45,4/30/2021 7:00,4/30/2021 7:45,
Internet,2:15,4/30/2021 4:45,4/30/2021 7:00,
Getting Ready,0:15,4/30/2021 4:30,4/30/2021 4:45,
Gaming,0:50,4/30/2021 3:40,4/30/2021 4:30,
Thesis,1:29,4/30/2021 2:10,4/30/2021 3:40,
Sleep,8:00,4/29/2021 18:09,4/30/2021 2:10,
Sleep-ternet,0:41,4/29/2021 17:28,4/29/2021 18:09,
Thesis,0:40,4/29/2021 16:47,4/29/2021 17:28,
Relaxing,1:27,4/29/2021 15:20,4/29/2021 16:47,
Eat,0:19,4/29/2021 15:01,4/29/2021 15:20,
Transport,0:19,4/29/2021 14:42,4/29/2021 15:01,
Thesis,2:38,4/29/2021 12:03,4/29/2021 14:42,
Sleep-ternet,0:58,4/29/2021 11:05,4/29/2021 12:03,
Gaming,0:27,4/29/2021 10:37,4/29/2021 11:05,
Eat,0:20,4/29/2021 10:17,4/29/2021 10:37,
Shop,0:07,4/29/2021 10:10,4/29/2021 10:17,
Transport,0:15,4/29/2021 9:55,4/29/2021 10:10,
Thesis,0:49,4/29/2021 9:05,4/29/2021 9:55,
Getting Ready,0:15,4/29/2021 8:50,4/29/2021 9:05,
Nap,1:20,4/29/2021 7:30,4/29/2021 8:50,
Sleep-ternet,0:36,4/29/2021 6:53,4/29/2021 7:30,
Gaming,0:31,4/29/2021 6:21,4/29/2021 6:53,
Work,0:51,4/29/2021 5:30,4/29/2021 6:21,
Eat,0:15,4/29/2021 5:15,4/29/2021 5:30,
Sport,0:30,4/29/2021 4:45,4/29/2021 5:15,
Admin,0:30,4/29/2021 4:15,4/29/2021 4:45,
Gaming,1:12,4/29/2021 3:02,4/29/2021 4:15,
Internet,1:00,4/29/2021 2:02,4/29/2021 3:02,
Sleep-ternet,1:29,4/29/2021 0:32,4/29/2021 2:02,
Sleep,8:32,4/28/2021 16:00,4/29/2021 0:32,
Internet,0:30,4/28/2021 15:30,4/28/2021 16:00,
Housework,1:59,4/28/2021 13:30,4/28/2021 15:30,
Transport,2:32,4/28/2021 10:57,4/28/2021 13:30,
Thesis,4:02,4/28/2021 6:55,4/28/2021 10:57,
Transport,9:55,4/27/2021 21:00,4/28/2021 6:55,
Getting Ready,0:59,4/27/2021 20:00,4/27/2021 21:00,
Sleep,5:00,4/27/2021 15:00,4/27/2021 20:00,
Internet,1:30,4/27/2021 13:30,4/27/2021 15:00,
Friends,3:59,4/27/2021 9:30,4/27/2021 13:30,
Admin,9:30,4/27/2021 0:00,4/27/2021 9:30,
Getting Ready,1:31,4/26/2021 22:28,4/27/2021 0:00,
Makin'/Fixin',0:23,4/26/2021 22:05,4/26/2021 22:28,
Sleep-ternet,0:13,4/26/2021 21:52,4/26/2021 22:05,
Sleep,4:52,4/26/2021 17:00,4/26/2021 21:52,
Sleep-ternet,0:42,4/26/2021 16:18,4/26/2021 17:00,
Housework,1:48,4/26/2021 14:30,4/26/2021 16:18,
Eat,0:30,4/26/2021 14:00,4/26/2021 14:30,
Internet,0:30,4/26/2021 13:30,4/26/2021 14:00,
Housework,3:05,4/26/2021 10:25,4/26/2021 13:30,
Shop,0:25,4/26/2021 10:00,4/26/2021 10:25,
Transport,0:34,4/26/2021 9:25,4/26/2021 10:00,
Housework,0:44,4/26/2021 8:40,4/26/2021 9:25,
Internet,0:40,4/26/2021 8:00,4/26/2021 8:40,
Admin,0:33,4/26/2021 7:26,4/26/2021 8:00,
"""Reading""",5:29,4/26/2021 1:57,4/26/2021 7:26,
Housework,0:00,4/26/2021 1:57,4/26/2021 1:57,
Transport,0:28,4/26/2021 1:28,4/26/2021 1:57,
Transport,0:00,4/26/2021 1:28,4/26/2021 1:28,
Housework,0:09,4/26/2021 1:18,4/26/2021 1:28,
Sleep-ternet,1:32,4/25/2021 23:45,4/26/2021 1:18,
Sleep,6:55,4/25/2021 16:50,4/25/2021 23:45,
Sleep-ternet,0:23,4/25/2021 16:27,4/25/2021 16:50,
Internet,0:42,4/25/2021 15:45,4/25/2021 16:27,
Linda,6:45,4/25/2021 9:00,4/25/2021 15:45,
Gaming,2:30,4/25/2021 6:30,4/25/2021 9:00,
Housework,1:54,4/25/2021 4:35,4/25/2021 6:30,
Eat,0:16,4/25/2021 4:19,4/25/2021 4:35,
Gaming,2:59,4/25/2021 1:20,4/25/2021 4:19,
Sleep-ternet,1:00,4/25/2021 0:19,4/25/2021 1:20,
Sleep,7:15,4/24/2021 17:04,4/25/2021 0:19,
Sleep-ternet,0:25,4/24/2021 16:38,4/24/2021 17:04,
Linda,3:28,4/24/2021 13:10,4/24/2021 16:38,
Transport,0:49,4/24/2021 12:20,4/24/2021 13:10,
Sleep-ternet,4:39,4/24/2021 7:40,4/24/2021 12:20,
Internet,0:19,4/24/2021 7:20,4/24/2021 7:40,
Transport,0:20,4/24/2021 7:00,4/24/2021 7:20,
Sport,5:40,4/24/2021 1:20,4/24/2021 7:00,
Transport,0:20,4/24/2021 1:00,4/24/2021 1:20,
Eat,0:10,4/24/2021 0:50,4/24/2021 1:00,
Sleep,5:47,4/23/2021 19:02,4/24/2021 0:50,
Sleep-ternet,0:15,4/23/2021 18:46,4/23/2021 19:02,
Sleep,1:52,4/23/2021 16:54,4/23/2021 18:46,
Eat,0:00,4/23/2021 16:54,4/23/2021 16:54,
Sleep-ternet,1:08,4/23/2021 15:45,4/23/2021 16:54,
"""Reading""",0:11,4/23/2021 15:34,4/23/2021 15:45,
Internet,1:43,4/23/2021 13:50,4/23/2021 15:34,
Gaming,1:20,4/23/2021 12:30,4/23/2021 13:50,
Housework,0:11,4/23/2021 12:18,4/23/2021 12:30,
Gaming,1:08,4/23/2021 11:10,4/23/2021 12:18,
Getting Ready,0:21,4/23/2021 10:48,4/23/2021 11:10,
"""Reading""",0:20,4/23/2021 10:28,4/23/2021 10:48,
Entertainment,0:36,4/23/2021 9:51,4/23/2021 10:28,
Eat,1:00,4/23/2021 8:51,4/23/2021 9:51,
Transport,0:00,4/23/2021 8:51,4/23/2021 8:51,
Shop,0:00,4/23/2021 8:51,4/23/2021 8:51,
Friends,0:00,4/23/2021 8:51,4/23/2021 8:51,
Transport,2:26,4/23/2021 6:24,4/23/2021 8:51,
Housework,0:24,4/23/2021 6:00,4/23/2021 6:24,
Gaming,2:00,4/23/2021 4:00,4/23/2021 6:00,
Makin'/Fixin',0:26,4/23/2021 3:33,4/23/2021 4:00,
Transport,0:32,4/23/2021 3:00,4/23/2021 3:33,
"""Reading""",0:22,4/23/2021 2:37,4/23/2021 3:00,
Sleep-ternet,1:07,4/23/2021 1:30,4/23/2021 2:37,
Sleep,7:30,4/22/2021 18:00,4/23/2021 1:30,
Sleep-ternet,0:29,4/22/2021 17:30,4/22/2021 18:00,
Internet,0:30,4/22/2021 17:00,4/22/2021 17:30,
Eat,0:45,4/22/2021 16:15,4/22/2021 17:00,
Transport,0:46,4/22/2021 15:28,4/22/2021 16:15,
Gaming,3:26,4/22/2021 12:02,4/22/2021 15:28,
Housework,0:26,4/22/2021 11:35,4/22/2021 12:02,
Eat,0:20,4/22/2021 11:33,4/22/2021 11:53,
Internet,2:18,4/22/2021 9:15,4/22/2021 11:33,
Gaming,2:01,4/22/2021 7:13,4/22/2021 9:15,
"""Reading""",0:35,4/22/2021 6:38,4/22/2021 7:13,
Gaming,1:05,4/22/2021 5:33,4/22/2021 6:38,
Eat,0:18,4/22/2021 5:15,4/22/2021 5:33,
Shop,0:15,4/22/2021 5:00,4/22/2021 5:15,
Transport,0:03,4/22/2021 4:56,4/22/2021 5:00,
Gaming,1:09,4/22/2021 3:47,4/22/2021 4:56,
Getting Ready,0:22,4/22/2021 3:25,4/22/2021 3:47,
Internet,0:15,4/22/2021 3:10,4/22/2021 3:25,
Sleep-ternet,0:58,4/22/2021 2:11,4/22/2021 3:10,
Sleep,7:35,4/21/2021 18:36,4/22/2021 2:11,
Sleep-ternet,1:07,4/21/2021 17:29,4/21/2021 18:36,
Admin,0:59,4/21/2021 16:30,4/21/2021 17:29,
Linda,4:09,4/21/2021 12:20,4/21/2021 16:30,
Eat,0:29,4/21/2021 11:50,4/21/2021 12:20,
Work,1:05,4/21/2021 10:45,4/21/2021 11:50,
Gaming,1:25,4/21/2021 9:20,4/21/2021 10:45,
Transport,0:15,4/21/2021 9:04,4/21/2021 9:20,
Shop,0:03,4/21/2021 9:01,4/21/2021 9:04,
Transport,0:08,4/21/2021 8:52,4/21/2021 9:01,
Gaming,0:36,4/21/2021 8:15,4/21/2021 8:52,
Housework,1:04,4/21/2021 7:11,4/21/2021 8:15,
Gaming,0:50,4/21/2021 6:20,4/21/2021 7:10,
Shop,0:30,4/21/2021 5:50,4/21/2021 6:20,
Transport,0:26,4/21/2021 5:23,4/21/2021 5:50,
Gaming,1:17,4/21/2021 4:05,4/21/2021 5:23,
Eat,0:16,4/21/2021 3:48,4/21/2021 4:05,
Sleep-ternet,0:34,4/21/2021 3:14,4/21/2021 3:48,
Sleep,7:59,4/20/2021 19:15,4/21/2021 3:14,
Sleep-ternet,0:14,4/20/2021 19:00,4/20/2021 19:15,
Work,2:59,4/20/2021 16:00,4/20/2021 19:00,
"""Reading""",1:34,4/20/2021 14:26,4/20/2021 16:00,
Internet,2:11,4/20/2021 12:15,4/20/2021 14:26,
Shop,0:15,4/20/2021 12:15,4/20/2021 12:30,
Transport,0:47,4/20/2021 11:27,4/20/2021 12:15,
Internet,2:57,4/20/2021 8:29,4/20/2021 11:27,
"""Reading""",0:14,4/20/2021 8:15,4/20/2021 8:29,
"""Reading""",0:00,4/20/2021 8:05,4/20/2021 8:05,
Work,1:45,4/20/2021 6:30,4/20/2021 8:15,
Internet,1:45,4/20/2021 4:45,4/20/2021 6:30,
Gaming,0:44,4/20/2021 4:00,4/20/2021 4:45,
Eat,0:24,4/20/2021 3:36,4/20/2021 4:00,
Transport,0:16,4/20/2021 3:19,4/20/2021 3:36,
Gaming,9:30,4/20/2021 2:45,4/20/2021 12:15,
Sleep-ternet,0:34,4/20/2021 2:10,4/20/2021 2:45,
Sleep,6:46,4/19/2021 19:23,4/20/2021 2:10,
Sleep-ternet,1:26,4/19/2021 17:56,4/19/2021 19:23,
Work,2:52,4/19/2021 15:04,4/19/2021 17:56,
Internet,1:19,4/19/2021 13:45,4/19/2021 15:04,
Eat,0:30,4/19/2021 13:15,4/19/2021 13:45,
Gaming,1:44,4/19/2021 11:31,4/19/2021 13:15,
Work,2:30,4/19/2021 9:00,4/19/2021 11:31,
"""Reading""",0:22,4/19/2021 8:37,4/19/2021 9:00,
Gaming,2:51,4/19/2021 5:46,4/19/2021 8:37,
Shop,0:16,4/19/2021 5:30,4/19/2021 5:46,
Transport,0:30,4/19/2021 4:59,4/19/2021 5:30,
Sleep-ternet,3:28,4/19/2021 1:30,4/19/2021 4:59,
Sleep,8:00,4/18/2021 17:45,4/19/2021 1:45,
Sleep-ternet,1:22,4/18/2021 16:22,4/18/2021 17:45,
Getting Ready,0:05,4/18/2021 16:16,4/18/2021 16:22,
"""Reading""",0:00,4/18/2021 16:16,4/18/2021 16:16,
Internet,0:05,4/18/2021 16:11,4/18/2021 16:16,
Admin,1:00,4/18/2021 15:10,4/18/2021 16:11,
Entertainment,1:10,4/18/2021 14:00,4/18/2021 15:10,
Gaming,1:00,4/18/2021 13:00,4/18/2021 14:00,
Internet,0:05,4/18/2021 12:54,4/18/2021 13:00,
Sleep-ternet,0:50,4/18/2021 12:04,4/18/2021 12:54,
Gaming,0:49,4/18/2021 11:15,4/18/2021 12:04,
Internet,0:45,4/18/2021 10:30,4/18/2021 11:15,
Makin'/Fixin',0:30,4/18/2021 10:00,4/18/2021 10:30,
Nap,1:30,4/18/2021 8:30,4/18/2021 10:00,
Sleep-ternet,0:24,4/18/2021 8:05,4/18/2021 8:30,
Entertainment,0:33,4/18/2021 7:31,4/18/2021 8:05,
Internet,1:00,4/18/2021 6:30,4/18/2021 7:31,
Makin'/Fixin',1:00,4/18/2021 5:30,4/18/2021 6:30,
"""Reading""",0:21,4/18/2021 5:08,4/18/2021 5:30,
Gaming,0:29,4/18/2021 4:38,4/18/2021 5:08,
Eat,0:15,4/18/2021 4:23,4/18/2021 4:38,
